n,Iterative,Recursive,Dynamic Programming
5110,0.16657,-,0.21665
5111,0.16652,-,0.26714
5112,0.16652,-,0.21656
5113,0.16651,-,0.21661
5114,0.16649,-,0.21676
5115,0.16647,-,0.26675
5116,0.16646,-,0.26706
5117,0.16649,-,0.21668
5118,0.16649,-,0.21665
5119,0.16644,-,0.21597
5120,0.16647,-,0.21616
5121,0.16606,-,0.26654
5122,0.16626,-,0.21628
5123,0.16618,-,0.21670
5124,0.16668,-,0.21666
5125,0.16637,-,0.21658
5126,0.16593,-,0.26689
5127,0.16630,-,0.21704
5128,0.16689,-,0.21694
5129,0.16656,-,0.21669
5130,0.16657,-,0.21664
5131,0.16648,-,0.26683
5132,0.16641,-,0.21624
5133,0.16616,-,0.21664
5134,0.16680,-,0.21688
5135,0.16721,-,0.26695
5136,0.16658,-,0.21679
5137,0.16651,-,0.21709
5138,0.16656,-,0.21660
5139,0.16669,-,0.21675
5140,0.16668,-,0.21652
5141,0.16627,-,0.26658
5142,0.16637,-,0.21715
5143,0.16662,-,0.21648
5144,0.16637,-,0.21646
5145,0.16676,-,0.26683
5146,0.16657,-,0.21646
5147,0.16634,-,0.21719
5148,0.16619,-,0.21739
5149,0.16620,-,0.21643
5150,0.16648,-,0.21698
5151,0.16614,-,0.21590
5152,0.16672,-,0.21679
5153,0.16675,-,0.21644
5154,0.16601,-,0.26639
5155,0.16650,-,0.21618
5156,0.16679,-,0.21652
5157,0.16643,-,0.21674
5158,0.16663,-,0.21649
5159,0.16592,-,0.21668
5160,0.16664,-,0.21650
5161,0.16640,-,0.21662
5162,0.16645,-,0.21669
5163,0.16633,-,0.21656
5164,0.16652,-,0.21645
5165,0.16638,-,0.21671
5166,0.16653,-,0.21670
5167,0.16622,-,0.21667
5168,0.16663,-,0.21663
5169,0.16657,-,0.21696
5170,0.16664,-,0.21643
5171,0.16624,-,0.26671
5172,0.16650,-,0.26686
5173,0.16662,-,0.21659
5174,0.16653,-,0.21668
5175,0.16665,-,0.26689
5176,0.16652,-,0.26682
5177,0.16644,-,0.21676
5178,0.16658,-,0.21713
5179,0.16646,-,0.26679
5180,0.16651,-,0.21689
5181,0.16658,-,0.26687
5182,0.16650,-,0.21645
5183,0.16645,-,0.26690
5184,0.16646,-,0.21660
5185,0.16655,-,0.26674
5186,0.16648,-,0.21706
5187,0.16645,-,0.26677
5188,0.16630,-,0.21653
5189,0.16668,-,0.21682
5190,0.16634,-,0.21669
5191,0.16648,-,0.21671
5192,0.16691,-,0.26680
5193,0.16649,-,0.21671
5194,0.16672,-,0.21628
5195,0.16639,-,0.21650
5196,0.16625,-,0.26650
5197,0.16634,-,0.21699
5198,0.16640,-,0.21673
5199,0.16656,-,0.26683
5200,0.16659,-,0.21676
5201,0.16667,-,0.21676
5202,0.16649,-,0.21677
5203,0.16664,-,0.21667
5204,0.16644,-,0.21666
5205,0.16652,-,0.21674
5206,0.16644,-,0.26664
5207,0.16630,-,0.26679
5208,0.16617,-,0.21681
5209,0.16655,-,0.21662
5210,0.16651,-,0.21659
5211,0.16665,-,0.21674
5212,0.16650,-,0.21664
5213,0.16615,-,0.26676
5214,0.16672,-,0.21665
5215,0.16655,-,0.26688
5216,0.16636,-,0.21710
5217,0.16649,-,0.21671
5218,0.16645,-,0.21668
5219,0.16658,-,0.21687
5220,0.16654,-,0.26635
5221,0.16644,-,0.26682
5222,0.16673,-,0.26661
5223,0.16667,-,0.21640
5224,0.16658,-,0.21697
5225,0.16624,-,0.21673
5226,0.16653,-,0.21675
5227,0.16619,-,0.21689
5228,0.16656,-,0.26683
5229,0.16648,-,0.21703
5230,0.16625,-,0.26699
5231,0.16625,-,0.21685
5232,0.16657,-,0.21675
5233,0.16639,-,0.26666
5234,0.16633,-,0.21670
5235,0.16648,-,0.21648
5236,0.16621,-,0.31659
5237,0.16666,-,0.26679
5238,0.16661,-,0.21620
5239,0.16671,-,0.21680
5240,0.16645,-,0.21647
5241,0.16663,-,0.26653
5242,0.16624,-,0.26663
5243,0.16691,-,0.21642
5244,0.16652,-,0.21711
5245,0.16648,-,0.21657
5246,0.16656,-,0.26668
5247,0.16668,-,0.31655
5248,0.16655,-,0.21679
5249,0.16647,-,0.26682
5250,0.16654,-,0.21648
5251,0.16635,-,0.26662
5252,0.16652,-,0.21659
5253,0.16644,-,0.21685
5254,0.16651,-,0.26724
5255,0.16692,-,0.21653
5256,0.16662,-,0.21682
5257,0.16681,-,0.21672
5258,0.16652,-,0.21672
5259,0.16663,-,0.21670
5260,0.16637,-,0.21636
5261,0.16643,-,0.21677
5262,0.16671,-,0.26674
5263,0.16651,-,0.21667
5264,0.16635,-,0.26706
5265,0.16664,-,0.26711
5266,0.16655,-,0.21673
5267,0.16627,-,0.21666
5268,0.16641,-,0.21650
5269,0.16631,-,0.26688
5270,0.16625,-,0.21679
5271,0.16610,-,0.21672
5272,0.16658,-,0.21682
5273,0.16647,-,0.21670
5274,0.16657,-,0.21668
5275,0.16639,-,0.26661
5276,0.16652,-,0.21667
5277,0.16650,-,0.21679
5278,0.16647,-,0.21668
5279,0.16614,-,0.21707
5280,0.16653,-,0.21665
5281,0.16650,-,0.26649
5282,0.16673,-,0.21667
5283,0.16638,-,0.21686
5284,0.16661,-,0.21671
5285,0.16665,-,0.21692
5286,0.16624,-,0.21665
5287,0.16653,-,0.21670
5288,0.16629,-,0.21651
5289,0.16659,-,0.21650
5290,0.16654,-,0.26679
5291,0.16651,-,0.21688
5292,0.16649,-,0.21642
5293,0.16656,-,0.21690
5294,0.16650,-,0.26678
5295,0.16622,-,0.26695
5296,0.16636,-,0.26673
5297,0.16620,-,0.21683
5298,0.16655,-,0.21666
5299,0.16609,-,0.21662
5300,0.16683,-,0.21675
5301,0.16641,-,0.26680
5302,0.16654,-,0.26677
5303,0.16676,-,0.26692
5304,0.16685,-,0.21659
5305,0.16650,-,0.21684
5306,0.16665,-,0.26688
5307,0.16632,-,0.26666
5308,0.16643,-,0.21660
5309,0.16639,-,0.21727
5310,0.16671,-,0.21639
5311,0.16653,-,0.26668
5312,0.16657,-,0.21679
5313,0.16630,-,0.26686
5314,0.16627,-,0.21666
5315,0.16637,-,0.21675
5316,0.16623,-,0.26684
5317,0.16652,-,0.26671
5318,0.16654,-,0.26693
5319,0.16650,-,0.21638
5320,0.16679,-,0.21664
5321,0.16647,-,0.26671
5322,0.16630,-,0.26651
5323,0.16667,-,0.21650
5324,0.16646,-,0.21655
5325,0.16621,-,0.26669
5326,0.16659,-,0.21663
5327,0.16650,-,0.21658
5328,0.16649,-,0.21652
5329,0.16639,-,0.26675
5330,0.16634,-,0.21671
5331,0.16628,-,0.26683
5332,0.16657,-,0.26696
5333,0.16661,-,0.21661
5334,0.16633,-,0.26673
5335,0.16655,-,0.21625
5336,0.16659,-,0.26641
5337,0.16642,-,0.21661
5338,0.16629,-,0.26680
5339,0.16634,-,0.26683
5340,0.16654,-,0.26675
5341,0.16654,-,0.26713
5342,0.16658,-,0.31731
5343,0.16662,-,0.26677
5344,0.16667,-,0.21638
5345,0.16626,-,0.21666
5346,0.16650,-,0.21641
5347,0.16657,-,0.21666
5348,0.16644,-,0.21650
5349,0.16660,-,0.21667
5350,0.16611,-,0.26685
5351,0.16651,-,0.26690
5352,0.16639,-,0.26671
5353,0.16617,-,0.21638
5354,0.16646,-,0.26673
5355,0.16648,-,0.21664
5356,0.16648,-,0.26686
5357,0.21674,-,0.21669
5358,0.16657,-,0.26671
5359,0.16659,-,0.26642
5360,0.16651,-,0.26656
5361,0.16674,-,0.21681
5362,0.16634,-,0.21690
5363,0.16650,-,0.26678
5364,0.16638,-,0.26693
5365,0.16641,-,0.26677
5366,0.16631,-,0.21671
5367,0.16619,-,0.26697
5368,0.16634,-,0.21644
5369,0.16630,-,0.26678
5370,0.16655,-,0.21697
5371,0.16622,-,0.26696
5372,0.16649,-,0.26687
5373,0.16666,-,0.26677
5374,0.16605,-,0.26676
5375,0.16654,-,0.26674
5376,0.16644,-,0.21696
5377,0.16647,-,0.26648
5378,0.16679,-,0.21645
5379,0.16627,-,0.26687
5380,0.16650,-,0.26656
5381,0.16669,-,0.21698
5382,0.16630,-,0.26696
5383,0.16670,-,0.21635
5384,0.16655,-,0.21640
5385,0.16638,-,0.26675
5386,0.16616,-,0.26675
5387,0.16644,-,0.21670
5388,0.16630,-,0.26671
5389,0.16659,-,0.26682
5390,0.16661,-,0.26698
5391,0.16657,-,0.26680
5392,0.16660,-,0.26664
5393,0.16639,-,0.21680
5394,0.16616,-,0.26685
5395,0.16650,-,0.26687
5396,0.16651,-,0.21710
5397,0.16676,-,0.26685
5398,0.16649,-,0.21659
5399,0.16660,-,0.26669
5400,0.16649,-,0.21647
5401,0.16657,-,0.26652
5402,0.16664,-,0.21668
5403,0.16659,-,0.26684
5404,0.16655,-,0.21631
5405,0.16655,-,0.26662
5406,0.16615,-,0.26739
5407,0.16672,-,0.21660
5408,0.16645,-,0.26692
5409,0.16631,-,0.21653
5410,0.16655,-,0.26668
5411,0.16639,-,0.26688
5412,0.16655,-,0.21675
5413,0.16654,-,0.26692
5414,0.16645,-,0.26691
5415,0.16615,-,0.26681
5416,0.16615,-,0.26620
5417,0.16679,-,0.26669
5418,0.16616,-,0.26685
5419,0.16656,-,0.21684
5420,0.16633,-,0.21666
5421,0.16635,-,0.26682
5422,0.16653,-,0.26688
5423,0.16655,-,0.26680
5424,0.16660,-,0.31703
5425,0.16689,-,0.26689
5426,0.16669,-,0.26686
5427,0.16694,-,0.26702
5428,0.21691,-,0.21676
5429,0.16647,-,0.26691
5430,0.16672,-,0.26633
5431,0.16667,-,0.26666
5432,0.16645,-,0.26692
5433,0.16615,-,0.21680
5434,0.16667,-,0.21632
5435,0.16644,-,0.26649
5436,0.16655,-,0.26681
5437,0.16662,-,0.26696
5438,0.16688,-,0.31703
5439,0.16638,-,0.26686
5440,0.16587,-,0.26705
5441,0.16653,-,0.21670
5442,0.16633,-,0.26694
5443,0.16658,-,0.26682
5444,0.16646,-,0.26679
5445,0.16661,-,0.26685
5446,0.16617,-,0.21659
5447,0.16651,-,0.26705
5448,0.16670,-,0.21674
5449,0.16649,-,0.26688
5450,0.16650,-,0.31715
5451,0.16651,-,0.21668
5452,0.16640,-,0.21653
5453,0.16651,-,0.26688
5454,0.16638,-,0.26687
5455,0.21683,-,0.26673
5456,0.16618,-,0.26686
5457,0.16660,-,0.31687
5458,0.16629,-,0.21684
5459,0.16648,-,0.26675
5460,0.16636,-,0.26654
5461,0.16660,-,0.26680
5462,0.16636,-,0.26695
5463,0.16652,-,0.26660
5464,0.16623,-,0.26681
5465,0.16663,-,0.21647
5466,0.16636,-,0.26671
5467,0.16650,-,0.26685
5468,0.16641,-,0.26669
5469,0.16630,-,0.26686
5470,0.16615,-,0.21631
5471,0.16599,-,0.31674
5472,0.16630,-,0.26649
5473,0.16680,-,0.26675
5474,0.16616,-,0.26659
5475,0.16643,-,0.26657
5476,0.16652,-,0.26660
5477,0.16638,-,0.26638
5478,0.16653,-,0.26683
5479,0.16639,-,0.26709
5480,0.16660,-,0.21672
5481,0.16641,-,0.26699
5482,0.16657,-,0.26699
5483,0.16636,-,0.26677
5484,0.16640,-,0.26674
5485,0.16657,-,0.26675
5486,0.16665,-,0.26709
5487,0.16607,-,0.21669
5488,0.16640,-,0.26677
5489,0.16676,-,0.26677
5490,0.16634,-,0.26671
5491,0.16641,-,0.26683
5492,0.16657,-,0.26618
5493,0.16654,-,0.26673
5494,0.16652,-,0.26680
5495,0.21636,-,0.26692
5496,0.16629,-,0.26666
5497,0.16657,-,0.26688
5498,0.16644,-,0.26709
5499,0.16683,-,0.26653
5500,0.16664,-,0.21652
5501,0.16631,-,0.26695
5502,0.16641,-,0.26697
5503,0.16654,-,0.26666
5504,0.16661,-,0.26646
5505,0.16649,-,0.26683
5506,0.16662,-,0.26618
5507,0.16640,-,0.26677
5508,0.16669,-,0.26690
5509,0.16633,-,0.26656
5510,0.16657,-,0.26670
5511,0.16659,-,0.26703
5512,0.16631,-,0.26693
5513,0.16681,-,0.26648
5514,0.16681,-,0.26709
5515,0.16660,-,0.26680
5516,0.16665,-,0.26686
5517,0.16619,-,0.26682
5518,0.16650,-,0.26681
5519,0.16665,-,0.26731
5520,0.16654,-,0.26675
5521,0.16660,-,0.26691
5522,0.16633,-,0.26682
5523,0.16647,-,0.26660
5524,0.16630,-,0.26673
5525,0.16634,-,0.26674
5526,0.16632,-,0.26680
5527,0.16670,-,0.26668
5528,0.16643,-,0.26691
5529,0.16670,-,0.26682
5530,0.16657,-,0.26673
5531,0.16684,-,0.26691
5532,0.16665,-,0.26681
5533,0.16610,-,0.26694
5534,0.16638,-,0.26670
5535,0.16641,-,0.26653
5536,0.16643,-,0.26680
5537,0.16654,-,0.26670
5538,0.16654,-,0.26672
5539,0.16667,-,0.26689
5540,0.16634,-,0.26709
5541,0.16652,-,0.26685
5542,0.16662,-,0.26687
5543,0.16608,-,0.26687
5544,0.16642,-,0.26662
5545,0.16648,-,0.26662
5546,0.16621,-,0.26650
5547,0.16647,-,0.26667
5548,0.16571,-,0.26651
5549,0.16660,-,0.26717
5550,0.16660,-,0.26679
5551,0.21662,-,0.26670
5552,0.16634,-,0.26673
5553,0.16635,-,0.26665
5554,0.16647,-,0.26668
5555,0.16622,-,0.26662
5556,0.16587,-,0.26664
5557,0.16650,-,0.26639
5558,0.16657,-,0.26670
5559,0.16597,-,0.26672
5560,0.16635,-,0.26698
5561,0.16651,-,0.26631
5562,0.16675,-,0.26668
5563,0.16623,-,0.26620
5564,0.16698,-,0.26607
5565,0.16626,-,0.26669
5566,0.16668,-,0.26682
5567,0.16626,-,0.26688
5568,0.16632,-,0.26658
5569,0.16655,-,0.26692
5570,0.16667,-,0.26660
5571,0.16662,-,0.26643
5572,0.16624,-,0.26685
5573,0.16635,-,0.26664
5574,0.16663,-,0.26680
5575,0.21663,-,0.26662
5576,0.16634,-,0.26640
5577,0.16640,-,0.26713
5578,0.16636,-,0.27254
5579,0.16647,-,0.26692
5580,0.16607,-,0.26688
5581,0.16664,-,0.26691
5582,0.16675,-,0.26688
5583,0.16633,-,0.26669
5584,0.16645,-,0.26636
5585,0.16679,-,0.26676
5586,0.16620,-,0.26686
5587,0.21655,-,0.26695
5588,0.16654,-,0.26683
5589,0.16621,-,0.26673
5590,0.16682,-,0.26671
5591,0.16621,-,0.26686
5592,0.16634,-,0.26713
5593,0.16640,-,0.26678
5594,0.16632,-,0.26656
5595,0.16633,-,0.26652
5596,0.16636,-,0.26668
5597,0.16653,-,0.26659
5598,0.16655,-,0.26689
5599,0.16671,-,0.26700
5600,0.16680,-,0.26702
5601,0.16669,-,0.26675
5602,0.16655,-,0.26684
5603,0.21640,-,0.26663
5604,0.16644,-,0.26665
5605,0.16643,-,0.26670
5606,0.16638,-,0.26666
5607,0.16644,-,0.26660
5608,0.21648,-,0.26666
5609,0.16641,-,0.26663
5610,0.16653,-,0.26660
5611,0.16628,-,0.26663
5612,0.16635,-,0.26671
5613,0.16633,-,0.26662
5614,0.16637,-,0.26663
5615,0.21682,-,0.26681
5616,0.16619,-,0.26662
5617,0.16638,-,0.26695
5618,0.16636,-,0.26663
5619,0.21640,-,0.26656
5620,0.16640,-,0.26666
5621,0.16617,-,0.26663
5622,0.16643,-,0.26720
5623,0.16634,-,0.26698
5624,0.21686,-,0.26686
5625,0.16634,-,0.26658
5626,0.16629,-,0.26653
5627,0.16650,-,0.26678
5628,0.16636,-,0.26640
5629,0.16663,-,0.26674
5630,0.16613,-,0.26656
5631,0.16658,-,0.26681
5632,0.16663,-,0.26709
5633,0.16646,-,0.26684
5634,0.16655,-,0.26689
5635,0.16631,-,0.26682
5636,0.16639,-,0.26721
5637,0.16650,-,0.26709
5638,0.16656,-,0.31698
5639,0.16636,-,0.26679
5640,0.16630,-,0.26672
5641,0.16627,-,0.26657
5642,0.16635,-,0.26683
5643,0.16641,-,0.26677
5644,0.16635,-,0.26687
5645,0.16637,-,0.26652
5646,0.16654,-,0.26701
5647,0.21667,-,0.26679
5648,0.16662,-,0.26673
5649,0.21652,-,0.26690
5650,0.16686,-,0.26648
5651,0.16640,-,0.31702
5652,0.16634,-,0.26679
5653,0.16634,-,0.26672
5654,0.16632,-,0.26658
5655,0.21643,-,0.31670
5656,0.21673,-,0.26650
5657,0.16661,-,0.26708
5658,0.16653,-,0.26653
5659,0.16631,-,0.26696
5660,0.16667,-,0.26687
5661,0.16660,-,0.26675
5662,0.16657,-,0.26688
5663,0.16651,-,0.31700
5664,0.16649,-,0.26673
5665,0.16661,-,0.26690
5666,0.16651,-,0.26687
5667,0.16675,-,0.26665
5668,0.16639,-,0.31678
5669,0.16640,-,0.26661
5670,0.21653,-,0.26656
5671,0.21644,-,0.26665
5672,0.16636,-,0.26672
5673,0.16644,-,0.26657
5674,0.16640,-,0.26651
5675,0.16644,-,0.26670
5676,0.16655,-,0.26653
5677,0.16610,-,0.26698
5678,0.16637,-,0.26696
5679,0.16671,-,0.26668
5680,0.21667,-,0.26661
5681,0.21648,-,0.31706
5682,0.16669,-,0.26641
5683,0.16661,-,0.26681
5684,0.16662,-,0.26681
5685,0.16650,-,0.26685
5686,0.21711,-,0.26687
5687,0.21643,-,0.26681
5688,0.16665,-,0.26690
5689,0.16644,-,0.26685
5690,0.16651,-,0.26647
5691,0.21684,-,0.26702
5692,0.16643,-,0.26692
5693,0.16629,-,0.31717
5694,0.16651,-,0.31699
5695,0.16632,-,0.26670
5696,0.16638,-,0.26695
5697,0.21646,-,0.26675
5698,0.16634,-,0.26673
5699,0.16679,-,0.26676
5700,0.16665,-,0.26691
5701,0.16658,-,0.26697
5702,0.16654,-,0.26680
5703,0.21671,-,0.31706
5704,0.21632,-,0.26675
5705,0.21647,-,0.26635
5706,0.16625,-,0.26650
5707,0.16638,-,0.26661
5708,0.16629,-,0.26642
5709,0.21665,-,0.26665
5710,0.21645,-,0.26656
5711,0.16632,-,0.26670
5712,0.21644,-,0.26703
5713,0.16650,-,0.26656
5714,0.21651,-,0.26671
5715,0.16625,-,0.26669
5716,0.21637,-,0.26682
5717,0.16629,-,0.26632
5718,0.16632,-,0.26672
5719,0.16633,-,0.26673
5720,0.16631,-,0.26665
5721,0.16642,-,0.26678
5722,0.16634,-,0.31691
5723,0.16633,-,0.31664
5724,0.16653,-,0.26688
5725,0.16668,-,0.31700
5726,0.16652,-,0.26684
5727,0.16690,-,0.31708
5728,0.16658,-,0.26668
5729,0.16672,-,0.26700
5730,0.16662,-,0.31704
5731,0.21658,-,0.31693
5732,0.16624,-,0.26688
5733,0.16643,-,0.31710
5734,0.16660,-,0.26675
5735,0.16626,-,0.26673
5736,0.21649,-,0.26692
5737,0.21648,-,0.26681
5738,0.16631,-,0.31674
5739,0.16666,-,0.26663
5740,0.21687,-,0.31713
5741,0.16669,-,0.26688
5742,0.16655,-,0.26689
5743,0.21647,-,0.26645
5744,0.21650,-,0.26625
5745,0.16658,-,0.26687
5746,0.21656,-,0.26697
5747,0.16642,-,0.26680
5748,0.16652,-,0.26678
5749,0.21697,-,0.26747
5750,0.16649,-,0.26687
5751,0.16652,-,0.26686
5752,0.16655,-,0.26682
5753,0.21672,-,0.31657
5754,0.21655,-,0.26684
5755,0.16654,-,0.26698
5756,0.21615,-,0.31666
5757,0.16636,-,0.26698
5758,0.21661,-,0.26687
5759,0.16635,-,0.26697
5760,0.16671,-,0.26651
5761,0.16658,-,0.31742
5762,0.21679,-,0.31733
5763,0.16646,-,0.26639
5764,0.16668,-,0.31681
5765,0.21652,-,0.26663
5766,0.21640,-,0.31696
5767,0.21659,-,0.26680
5768,0.16650,-,0.26667
5769,0.21647,-,0.31687
5770,0.21658,-,0.31716
5771,0.21678,-,0.26659
5772,0.16652,-,0.26686
5773,0.16672,-,0.26682
5774,0.16647,-,0.26656
5775,0.16619,-,0.31701
5776,0.21652,-,0.26653
5777,0.21652,-,0.26670
5778,0.21651,-,0.26643
5779,0.16640,-,0.26672
5780,0.16637,-,0.31683
5781,0.21641,-,0.26680
5782,0.16633,-,0.26664
5783,0.21678,-,0.26652
5784,0.21632,-,0.26670
5785,0.21658,-,0.26681
5786,0.16637,-,0.26673
5787,0.16637,-,0.26669
5788,0.21638,-,0.26690
5789,0.16644,-,0.26688
5790,0.16652,-,0.31676
5791,0.21671,-,0.26683
5792,0.16663,-,0.26678
5793,0.16653,-,0.26662
5794,0.21668,-,0.26685
5795,0.16651,-,0.26661
5796,0.21660,-,0.26680
5797,0.21669,-,0.31672
5798,0.21667,-,0.26694
5799,0.21647,-,0.31734
5800,0.21674,-,0.26686
5801,0.21661,-,0.26683
5802,0.16610,-,0.26699
5803,0.16637,-,0.31691
5804,0.16630,-,0.26668
5805,0.16619,-,0.26689
5806,0.21660,-,0.26688
5807,0.16625,-,0.26660
5808,0.16636,-,0.31663
5809,0.21658,-,0.26652
5810,0.16635,-,0.26659
5811,0.21647,-,0.26674
5812,0.21665,-,0.26666
5813,0.16646,-,0.26659
5814,0.21659,-,0.26669
5815,0.21627,-,0.26659
5816,0.21616,-,0.26663
5817,0.21648,-,0.26657
5818,0.21667,-,0.26687
5819,0.21633,-,0.26643
5820,0.21663,-,0.26720
5821,0.21672,-,0.26673
5822,0.21657,-,0.26706
5823,0.16659,-,0.26675
5824,0.21672,-,0.26688
5825,0.21625,-,0.26689
5826,0.16682,-,0.26692
5827,0.21670,-,0.26715
5828,0.21676,-,0.26691
5829,0.21660,-,0.31697
5830,0.21676,-,0.31699
5831,0.21676,-,0.26689
5832,0.21654,-,0.26707
5833,0.21672,-,0.26663
5834,0.16648,-,0.26673
5835,0.16659,-,0.26697
5836,0.21685,-,0.31684
5837,0.16670,-,0.31692
5838,0.21633,-,0.26694
5839,0.21642,-,0.26675
5840,0.21643,-,0.26659
5841,0.16635,-,0.26653
5842,0.21642,-,0.31667
5843,0.21707,-,0.26700
5844,0.21660,-,0.31699
5845,0.21685,-,0.31678
5846,0.21654,-,0.26693
5847,0.21666,-,0.26688
5848,0.21696,-,0.26699
5849,0.21634,-,0.26634
5850,0.21674,-,0.31701
5851,0.21648,-,0.26679
5852,0.21638,-,0.26681
5853,0.21658,-,0.26665
5854,0.21630,-,0.26689
5855,0.21658,-,0.31701
5856,0.21666,-,0.26654
5857,0.21655,-,0.26662
5858,0.21657,-,0.26654
5859,0.21646,-,0.26678
5860,0.21643,-,0.26697
5861,0.21667,-,0.31709
5862,0.21664,-,0.31729
5863,0.21603,-,0.26633
5864,0.21642,-,0.31710
5865,0.21632,-,0.26672
5866,0.21672,-,0.31715
5867,0.21680,-,0.26718
5868,0.21663,-,0.26687
5869,0.21680,-,0.31725
5870,0.21692,-,0.26666
5871,0.21659,-,0.31693
5872,0.21608,-,0.26689
5873,0.21689,-,0.31705
5874,0.21648,-,0.26680
5875,0.21665,-,0.26689
5876,0.21664,-,0.26695
5877,0.21641,-,0.26694
5878,0.21643,-,0.26662
5879,0.21661,-,0.26665
5880,0.21680,-,0.31700
5881,0.21674,-,0.26693
5882,0.21685,-,0.31641
5883,0.21700,-,0.26673
5884,0.21631,-,0.26681
5885,0.21676,-,0.31683
5886,0.21669,-,0.26673
5887,0.21661,-,0.26669
5888,0.21631,-,0.26674
5889,0.21654,-,0.31665
5890,0.21656,-,0.26666
5891,0.21726,-,0.26731
5892,0.21655,-,0.26680
5893,0.21653,-,0.26627
5894,0.21670,-,0.31702
5895,0.21678,-,0.31715
5896,0.21658,-,0.31698
5897,0.21656,-,0.26695
5898,0.21619,-,0.31698
5899,0.21631,-,0.26656
5900,0.21647,-,0.26657
5901,0.21647,-,0.26677
5902,0.21634,-,0.26692
5903,0.21671,-,0.26690
5904,0.21688,-,0.31681
5905,0.21667,-,0.26703
5906,0.21680,-,0.31703
5907,0.21680,-,0.26706
5908,0.21676,-,0.26678
5909,0.21662,-,0.26647
5910,0.21621,-,0.31701
5911,0.21672,-,0.31715
5912,0.21661,-,0.26681
5913,0.21664,-,0.26711
5914,0.21663,-,0.26677
5915,0.21674,-,0.26680
5916,0.21645,-,0.31699
5917,0.21667,-,0.26688
5918,0.21665,-,0.26687
5919,0.21657,-,0.31733
5920,0.21619,-,0.26707
5921,0.21666,-,0.26687
5922,0.21643,-,0.26703
5923,0.21667,-,0.26689
5924,0.21642,-,0.31701
5925,0.21642,-,0.31695
5926,0.21672,-,0.26698
5927,0.21661,-,0.31672
5928,0.21638,-,0.31703
5929,0.21664,-,0.26674
5930,0.21638,-,0.26682
5931,0.21656,-,0.26665
5932,0.21613,-,0.26695
5933,0.21667,-,0.26692
5934,0.21682,-,0.26689
5935,0.21651,-,0.26683
5936,0.21661,-,0.26694
5937,0.21683,-,0.31688
5938,0.21683,-,0.26673
5939,0.21671,-,0.26726
5940,0.21661,-,0.26731
5941,0.21685,-,0.26715
5942,0.21646,-,0.26664
5943,0.21645,-,0.31681
5944,0.21652,-,0.31678
5945,0.21639,-,0.26670
5946,0.21631,-,0.31699
5947,0.21635,-,0.31704
5948,0.21638,-,0.26604
5949,0.21654,-,0.31680
5950,0.21661,-,0.31682
5951,0.21581,-,0.26663
5952,0.21632,-,0.26656
5953,0.21652,-,0.26681
5954,0.21656,-,0.31701
5955,0.21666,-,0.26677
5956,0.21641,-,0.31679
5957,0.21657,-,0.31688
5958,0.21642,-,0.31674
5959,0.21649,-,0.31679
5960,0.21643,-,0.26667
5961,0.21619,-,0.31711
5962,0.21663,-,0.31685
5963,0.21660,-,0.26673
5964,0.21661,-,0.31703
5965,0.21647,-,0.26681
5966,0.21645,-,0.26663
5967,0.21645,-,0.26676
5968,0.21649,-,0.26663
5969,0.21654,-,0.26682
5970,0.21654,-,0.26673
5971,0.21616,-,0.26662
5972,0.21612,-,0.26675
5973,0.21615,-,0.31684
5974,0.21611,-,0.31688
5975,0.21652,-,0.26675
5976,0.21599,-,0.31746
5977,0.21653,-,0.26710
5978,0.21619,-,0.31626
5979,0.21639,-,0.31703
5980,0.21666,-,0.26674
5981,0.21694,-,0.26704
5982,0.21643,-,0.31699
5983,0.21676,-,0.31703
5984,0.21695,-,0.26670
5985,0.21660,-,0.26663
5986,0.21624,-,0.26685
5987,0.21670,-,0.26681
5988,0.21640,-,0.36666
5989,0.21667,-,0.31668
5990,0.21640,-,0.26670
5991,0.21638,-,0.31668
5992,0.21647,-,0.31691
5993,0.21660,-,0.26674
5994,0.21665,-,0.26676
5995,0.21642,-,0.31706
5996,0.21649,-,0.26674
5997,0.21653,-,0.31709
5998,0.21637,-,0.31683
5999,0.21642,-,0.26668
6000,0.21644,-,0.26656
6001,0.21665,-,0.31689
6002,0.21639,-,0.26681
6003,0.21667,-,0.31691
6004,0.21663,-,0.31698
6005,0.21656,-,0.26671
6006,0.21750,-,0.31703
6007,0.21659,-,0.26663
6008,0.21652,-,0.31682
6009,0.21671,-,0.26667
6010,0.21652,-,0.31675
6011,0.21669,-,0.36714
6012,0.21645,-,0.26644
6013,0.21654,-,0.26665
6014,0.21661,-,0.31695
6015,0.21668,-,0.26677
6016,0.21653,-,0.26694
6017,0.21653,-,0.26663
6018,0.21657,-,0.26672
6019,0.21690,-,0.26669
6020,0.21625,-,0.26665
6021,0.21662,-,0.31653
6022,0.21648,-,0.31671
6023,0.21653,-,0.26617
6024,0.21641,-,0.26669
6025,0.21660,-,0.26659
6026,0.21671,-,0.31691
6027,0.21650,-,0.31706
6028,0.21666,-,0.31672
6029,0.21643,-,0.26649
6030,0.21610,-,0.31702
6031,0.21644,-,0.26677
6032,0.21679,-,0.31700
6033,0.21667,-,0.26685
6034,0.21668,-,0.31683
6035,0.21661,-,0.31687
6036,0.21655,-,0.26670
6037,0.21650,-,0.26685
6038,0.21638,-,0.31713
6039,0.21629,-,0.31691
6040,0.21639,-,0.26676
